filename,description,rod_length,big_end_diameter,small_end_diameter,shaft_thickness,rod_thickness,shaft_length,shaft_diameter,cam_major_diameter,cam_minor_diameter,cam_thickness,journal_diameter,journal_thickness,num_cams,component_type,throw_count,web_thickness,counterweight_radius,cylinder_count,head_length,port_diameter,valve_diameter,length,width,height,oil_pan_depth,bearing_diameter,flange_thickness,valve_type,stem_length,stem_diameter,head_diameter,head_thickness,filleted
crankshaft_10_long_thick_crankshaft_with_many_throws.stl,long thick crankshaft with many throws,,,,,,600,,,,,,,,crankshaft,6,20,50,,,,,,,,,,,,,,,,
crankshaft_11_short_thin_crankshaft_with_few_throws.stl,short thin crankshaft with few throws,,,,,,300,,,,,,,,crankshaft,2,10,50,,,,,,,,,,,,,,,,
crankshaft_12_long_crankshaft_with_thick_webs_small_counterweights.stl,long crankshaft with thick webs small counterweights,,,,,,600,,,,,,,,crankshaft,4,20,40,,,,,,,,,,,,,,,,
crankshaft_13_short_crankshaft_with_thin_webs_large_counterweights.stl,short crankshaft with thin webs large counterweights,,,,,,300,,,,,,,,crankshaft,4,10,60,,,,,,,,,,,,,,,,
crankshaft_14_crankshaft_with_many_throws_large_counterweights.stl,crankshaft with many throws large counterweights,,,,,,450,,,,,,,,crankshaft,6,15,60,,,,,,,,,,,,,,,,
crankshaft_15_crankshaft_with_few_throws_small_counterweights.stl,crankshaft with few throws small counterweights,,,,,,450,,,,,,,,crankshaft,2,15,40,,,,,,,,,,,,,,,,
crankshaft_16_long_crankshaft_with_thin_webs_many_throws.stl,long crankshaft with thin webs many throws,,,,,,600,,,,,,,,crankshaft,6,10,50,,,,,,,,,,,,,,,,
crankshaft_17_short_crankshaft_with_thick_webs_few_throws.stl,short crankshaft with thick webs few throws,,,,,,300,,,,,,,,crankshaft,2,20,50,,,,,,,,,,,,,,,,
crankshaft_18_long_thick_crankshaft_with_large_counterweights.stl,long thick crankshaft with large counterweights,,,,,,600,,,,,,,,crankshaft,4,20,60,,,,,,,,,,,,,,,,
crankshaft_19_short_thin_crankshaft_with_small_counterweights.stl,short thin crankshaft with small counterweights,,,,,,300,,,,,,,,crankshaft,4,10,40,,,,,,,,,,,,,,,,
crankshaft_20_long_crankshaft_with_many_throws_thin_webs.stl,long crankshaft with many throws thin webs,,,,,,600,,,,,,,,crankshaft,6,10,50,,,,,,,,,,,,,,,,
crankshaft_21_short_crankshaft_with_few_throws_thick_webs.stl,short crankshaft with few throws thick webs,,,,,,300,,,,,,,,crankshaft,2,20,50,,,,,,,,,,,,,,,,
crankshaft_22_crankshaft_with_thick_webs_many_throws_large_counterweights.stl,crankshaft with thick webs many throws large counterweights,,,,,,450,,,,,,,,crankshaft,6,20,60,,,,,,,,,,,,,,,,
crankshaft_23_crankshaft_with_thin_webs_few_throws_small_counterweights.stl,crankshaft with thin webs few throws small counterweights,,,,,,450,,,,,,,,crankshaft,2,10,40,,,,,,,,,,,,,,,,
crankshaft_24_long_thick_crankshaft_with_few_throws_large_counterweights.stl,long thick crankshaft with few throws large counterweights,,,,,,600,,,,,,,,crankshaft,2,20,60,,,,,,,,,,,,,,,,
crankshaft_25_short_thin_crankshaft_with_many_throws_small_counterweights.stl,short thin crankshaft with many throws small counterweights,,,,,,300,,,,,,,,crankshaft,6,10,40,,,,,,,,,,,,,,,,
crankshaft_26_long_crankshaft_with_thick_webs_many_throws_large_counterweights.stl,long crankshaft with thick webs many throws large counterweights,,,,,,600,,,,,,,,crankshaft,6,20,60,,,,,,,,,,,,,,,,
crankshaft_27_short_crankshaft_with_thin_webs_few_throws_small_counterweights.stl,short crankshaft with thin webs few throws small counterweights,,,,,,300,,,,,,,,crankshaft,2,10,40,,,,,,,,,,,,,,,,
crankshaft_28_long_crankshaft_with_many_throws_large_counterweights.stl,long crankshaft with many throws large counterweights,,,,,,600,,,,,,,,crankshaft,6,15,60,,,,,,,,,,,,,,,,
crankshaft_29_short_crankshaft_with_few_throws_small_counterweights.stl,short crankshaft with few throws small counterweights,,,,,,300,,,,,,,,crankshaft,2,15,40,,,,,,,,,,,,,,,,
crankshaft_30_long_thick_crankshaft_with_thin_webs_many_throws.stl,long thick crankshaft with thin webs many throws,,,,,,600,,,,,,,,crankshaft,6,20,50,,,,,,,,,,,,,,,,
crankshaft_31_short_thin_crankshaft_with_thick_webs_few_throws.stl,short thin crankshaft with thick webs few throws,,,,,,300,,,,,,,,crankshaft,2,20,50,,,,,,,,,,,,,,,,
crankshaft_32_long_crankshaft_with_large_counterweights_many_throws.stl,long crankshaft with large counterweights many throws,,,,,,600,,,,,,,,crankshaft,6,15,60,,,,,,,,,,,,,,,,
crankshaft_33_short_crankshaft_with_small_counterweights_few_throws.stl,short crankshaft with small counterweights few throws,,,,,,300,,,,,,,,crankshaft,2,15,40,,,,,,,,,,,,,,,,
crankshaft_34_long_thick_crankshaft_with_many_throws_large_counterweights.stl,long thick crankshaft with many throws large counterweights,,,,,,600,,,,,,,,crankshaft,6,20,60,,,,,,,,,,,,,,,,
crankshaft_35_short_thin_crankshaft_with_few_throws_small_counterweights.stl,short thin crankshaft with few throws small counterweights,,,,,,300,,,,,,,,crankshaft,2,10,40,,,,,,,,,,,,,,,,
crankshaft_36_long_crankshaft_with_thin_webs_large_counterweights.stl,long crankshaft with thin webs large counterweights,,,,,,600,,,,,,,,crankshaft,4,10,60,,,,,,,,,,,,,,,,
crankshaft_37_short_crankshaft_with_thick_webs_small_counterweights.stl,short crankshaft with thick webs small counterweights,,,,,,300,,,,,,,,crankshaft,4,20,40,,,,,,,,,,,,,,,,
crankshaft_38_long_thick_crankshaft_with_few_throws_thin_webs.stl,long thick crankshaft with few throws thin webs,,,,,,600,,,,,,,,crankshaft,2,20,50,,,,,,,,,,,,,,,,
crankshaft_39_short_thin_crankshaft_with_many_throws_thick_webs.stl,short thin crankshaft with many throws thick webs,,,,,,310,,,,,,,,crankshaft,6,20,50,,,,,,,,,,,,,,,,
crankshaft_40_long_crankshaft_with_many_throws_thick_webs_small_counterweights.stl,long crankshaft with many throws thick webs small counterweights,,,,,,600,,,,,,,,crankshaft,6,20,40,,,,,,,,,,,,,,,,
crankshaft_41_short_crankshaft_with_few_throws_thin_webs_large_counterweights.stl,short crankshaft with few throws thin webs large counterweights,,,,,,300,,,,,,,,crankshaft,2,10,60,,,,,,,,,,,,,,,,
crankshaft_42_long_thick_crankshaft_with_large_counterweights_few_throws.stl,long thick crankshaft with large counterweights few throws,,,,,,600,,,,,,,,crankshaft,2,20,60,,,,,,,,,,,,,,,,
crankshaft_43_short_thin_crankshaft_with_small_counterweights_many_throws.stl,short thin crankshaft with small counterweights many throws,,,,,,300,,,,,,,,crankshaft,6,10,40,,,,,,,,,,,,,,,,
crankshaft_44_long_crankshaft_with_thick_webs_large_counterweights_many_throws.stl,long crankshaft with thick webs large counterweights many throws,,,,,,600,,,,,,,,crankshaft,6,20,60,,,,,,,,,,,,,,,,
crankshaft_45_short_crankshaft_with_thin_webs_small_counterweights_few_throws.stl,short crankshaft with thin webs small counterweights few throws,,,,,,300,,,,,,,,crankshaft,2,10,40,,,,,,,,,,,,,,,,
crankshaft_46_long_thick_crankshaft_with_many_throws_thin_webs_large_counterweights.stl,long thick crankshaft with many throws thin webs large counterweights,,,,,,600,,,,,,,,crankshaft,6,20,60,,,,,,,,,,,,,,,,
crankshaft_47_short_thin_crankshaft_with_few_throws_thick_webs_small_counterweights.stl,short thin crankshaft with few throws thick webs small counterweights,,,,,,300,,,,,,,,crankshaft,2,20,40,,,,,,,,,,,,,,,,
crankshaft_48_long_crankshaft_with_many_throws_thick_webs.stl,long crankshaft with many throws thick webs,,,,,,600,,,,,,,,crankshaft,6,20,50,,,,,,,,,,,,,,,,
crankshaft_49_short_crankshaft_with_few_throws_thin_webs.stl,short crankshaft with few throws thin webs,,,,,,300,,,,,,,,crankshaft,2,10,50,,,,,,,,,,,,,,,,
cylinder_head_0_long_cylinder_head_with_many_cylinders_large_ports_large_valves.stl,long cylinder head with many cylinders large ports large valves,,,,,,,,,,,,,,cylinder_head,,,,6,500,30,35,,,,,,,,,,,,
cylinder_head_1_short_cylinder_head_with_few_cylinders_small_ports_small_valves.stl,short cylinder head with few cylinders small ports small valves,,,,,,,,,,,,,,cylinder_head,,,,2,300,20,25,,,,,,,,,,,,
cylinder_head_2_cylinder_head_with_large_ports_large_valves.stl,cylinder head with large ports large valves,,,,,,,,,,,,,,cylinder_head,,,,4,400,30,35,,,,,,,,,,,,
cylinder_head_3_cylinder_head_with_small_ports_small_valves.stl,cylinder head with small ports small valves,,,,,,,,,,,,,,cylinder_head,,,,4,400,20,25,,,,,,,,,,,,
cylinder_head_4_long_cylinder_head_with_few_cylinders_large_ports.stl,long cylinder head with few cylinders large ports,,,,,,,,,,,,,,cylinder_head,,,,2,500,30,35,,,,,,,,,,,,
cylinder_head_5_short_cylinder_head_with_many_cylinders_small_ports.stl,short cylinder head with many cylinders small ports,,,,,,,,,,,,,,cylinder_head,,,,6,360,20,30,,,,,,,,,,,,
cylinder_head_6_long_cylinder_head_with_large_valves.stl,long cylinder head with large valves,,,,,,,,,,,,,,cylinder_head,,,,4,500,25,35,,,,,,,,,,,,
cylinder_head_7_short_cylinder_head_with_small_valves.stl,short cylinder head with small valves,,,,,,,,,,,,,,cylinder_head,,,,4,300,25,30,,,,,,,,,,,,
cylinder_head_8_cylinder_head_with_many_cylinders_large_ports.stl,cylinder head with many cylinders large ports,,,,,,,,,,,,,,cylinder_head,,,,6,400,30,35,,,,,,,,,,,,
cylinder_head_9_cylinder_head_with_few_cylinders_small_ports.stl,cylinder head with few cylinders small ports,,,,,,,,,,,,,,cylinder_head,,,,2,400,20,30,,,,,,,,,,,,
cylinder_head_10_long_cylinder_head_with_many_cylinders_large_valves.stl,long cylinder head with many cylinders large valves,,,,,,,,,,,,,,cylinder_head,,,,6,500,25,35,,,,,,,,,,,,
cylinder_head_11_short_cylinder_head_with_few_cylinders_small_valves.stl,short cylinder head with few cylinders small valves,,,,,,,,,,,,,,cylinder_head,,,,2,300,25,30,,,,,,,,,,,,
cylinder_head_12_long_cylinder_head_with_large_ports_small_valves.stl,long cylinder head with large ports small valves,,,,,,,,,,,,,,cylinder_head,,,,4,500,30,35,,,,,,,,,,,,
cylinder_head_13_short_cylinder_head_with_small_ports_large_valves.stl,short cylinder head with small ports large valves,,,,,,,,,,,,,,cylinder_head,,,,4,300,20,35,,,,,,,,,,,,
cylinder_head_14_cylinder_head_with_many_cylinders_large_valves.stl,cylinder head with many cylinders large valves,,,,,,,,,,,,,,cylinder_head,,,,6,400,25,35,,,,,,,,,,,,
cylinder_head_15_cylinder_head_with_few_cylinders_small_valves.stl,cylinder head with few cylinders small valves,,,,,,,,,,,,,,cylinder_head,,,,2,400,25,30,,,,,,,,,,,,
cylinder_head_16_long_cylinder_head_with_small_ports_many_cylinders.stl,long cylinder head with small ports many cylinders,,,,,,,,,,,,,,cylinder_head,,,,6,500,20,30,,,,,,,,,,,,
cylinder_head_17_short_cylinder_head_with_large_ports_few_cylinders.stl,short cylinder head with large ports few cylinders,,,,,,,,,,,,,,cylinder_head,,,,2,300,30,35,,,,,,,,,,,,
cylinder_head_18_long_cylinder_head_with_large_ports_large_valves.stl,long cylinder head with large ports large valves,,,,,,,,,,,,,,cylinder_head,,,,4,500,30,35,,,,,,,,,,,,
cylinder_head_19_short_cylinder_head_with_small_ports_small_valves.stl,short cylinder head with small ports small valves,,,,,,,,,,,,,,cylinder_head,,,,4,300,20,25,,,,,,,,,,,,
cylinder_head_20_long_cylinder_head_with_many_cylinders_small_ports.stl,long cylinder head with many cylinders small ports,,,,,,,,,,,,,,cylinder_head,,,,6,500,20,30,,,,,,,,,,,,
cylinder_head_21_short_cylinder_head_with_few_cylinders_large_ports.stl,short cylinder head with few cylinders large ports,,,,,,,,,,,,,,cylinder_head,,,,2,300,30,35,,,,,,,,,,,,
cylinder_head_22_cylinder_head_with_large_ports_many_cylinders_large_valves.stl,cylinder head with large ports many cylinders large valves,,,,,,,,,,,,,,cylinder_head,,,,6,400,30,35,,,,,,,,,,,,
cylinder_head_23_cylinder_head_with_small_ports_few_cylinders_small_valves.stl,cylinder head with small ports few cylinders small valves,,,,,,,,,,,,,,cylinder_head,,,,2,400,20,25,,,,,,,,,,,,
cylinder_head_24_long_cylinder_head_with_few_cylinders_large_valves.stl,long cylinder head with few cylinders large valves,,,,,,,,,,,,,,cylinder_head,,,,2,500,25,35,,,,,,,,,,,,
cylinder_head_25_short_cylinder_head_with_many_cylinders_small_valves.stl,short cylinder head with many cylinders small valves,,,,,,,,,,,,,,cylinder_head,,,,6,330,25,30,,,,,,,,,,,,
cylinder_head_26_long_cylinder_head_with_many_cylinders_large_ports_large_valves.stl,long cylinder head with many cylinders large ports large valves,,,,,,,,,,,,,,cylinder_head,,,,6,500,30,35,,,,,,,,,,,,
cylinder_head_27_short_cylinder_head_with_few_cylinders_small_ports_small_valves.stl,short cylinder head with few cylinders small ports small valves,,,,,,,,,,,,,,cylinder_head,,,,2,300,20,25,,,,,,,,,,,,
cylinder_head_28_long_cylinder_head_with_many_cylinders_large_valves.stl,long cylinder head with many cylinders large valves,,,,,,,,,,,,,,cylinder_head,,,,6,500,25,35,,,,,,,,,,,,
cylinder_head_29_short_cylinder_head_with_few_cylinders_small_valves.stl,short cylinder head with few cylinders small valves,,,,,,,,,,,,,,cylinder_head,,,,2,300,25,30,,,,,,,,,,,,
cylinder_head_30_long_cylinder_head_with_small_ports_large_valves.stl,long cylinder head with small ports large valves,,,,,,,,,,,,,,cylinder_head,,,,4,500,20,35,,,,,,,,,,,,
cylinder_head_31_short_cylinder_head_with_large_ports_small_valves.stl,short cylinder head with large ports small valves,,,,,,,,,,,,,,cylinder_head,,,,4,300,30,35,,,,,,,,,,,,
cylinder_head_32_long_cylinder_head_with_large_ports_many_cylinders.stl,long cylinder head with large ports many cylinders,,,,,,,,,,,,,,cylinder_head,,,,6,500,30,35,,,,,,,,,,,,
cylinder_head_33_short_cylinder_head_with_small_ports_few_cylinders.stl,short cylinder head with small ports few cylinders,,,,,,,,,,,,,,cylinder_head,,,,2,300,20,30,,,,,,,,,,,,
cylinder_head_34_long_cylinder_head_with_many_cylinders_large_ports_large_valves.stl,long cylinder head with many cylinders large ports large valves,,,,,,,,,,,,,,cylinder_head,,,,6,500,30,35,,,,,,,,,,,,
cylinder_head_35_short_cylinder_head_with_few_cylinders_small_ports_small_valves.stl,short cylinder head with few cylinders small ports small valves,,,,,,,,,,,,,,cylinder_head,,,,2,300,20,25,,,,,,,,,,,,
cylinder_head_36_long_cylinder_head_with_small_ports_large_valves.stl,long cylinder head with small ports large valves,,,,,,,,,,,,,,cylinder_head,,,,4,500,20,35,,,,,,,,,,,,
cylinder_head_37_short_cylinder_head_with_large_ports_small_valves.stl,short cylinder head with large ports small valves,,,,,,,,,,,,,,cylinder_head,,,,4,300,30,35,,,,,,,,,,,,
cylinder_head_38_long_cylinder_head_with_few_cylinders_large_ports_large_valves.stl,long cylinder head with few cylinders large ports large valves,,,,,,,,,,,,,,cylinder_head,,,,2,500,30,35,,,,,,,,,,,,
cylinder_head_39_short_cylinder_head_with_many_cylinders_small_ports_small_valves.stl,short cylinder head with many cylinders small ports small valves,,,,,,,,,,,,,,cylinder_head,,,,6,330,20,25,,,,,,,,,,,,
cylinder_head_40_long_cylinder_head_with_many_cylinders_large_ports_small_valves.stl,long cylinder head with many cylinders large ports small valves,,,,,,,,,,,,,,cylinder_head,,,,6,500,30,35,,,,,,,,,,,,
cylinder_head_41_short_cylinder_head_with_few_cylinders_small_ports_large_valves.stl,short cylinder head with few cylinders small ports large valves,,,,,,,,,,,,,,cylinder_head,,,,2,300,20,35,,,,,,,,,,,,
cylinder_head_42_long_cylinder_head_with_large_valves_many_cylinders.stl,long cylinder head with large valves many cylinders,,,,,,,,,,,,,,cylinder_head,,,,6,500,25,35,,,,,,,,,,,,
cylinder_head_43_short_cylinder_head_with_small_valves_few_cylinders.stl,short cylinder head with small valves few cylinders,,,,,,,,,,,,,,cylinder_head,,,,2,300,25,30,,,,,,,,,,,,
cylinder_head_44_long_cylinder_head_with_large_ports_large_valves_many_cylinders.stl,long cylinder head with large ports large valves many cylinders,,,,,,,,,,,,,,cylinder_head,,,,6,500,30,35,,,,,,,,,,,,
cylinder_head_45_short_cylinder_head_with_small_ports_small_valves_few_cylinders.stl,short cylinder head with small ports small valves few cylinders,,,,,,,,,,,,,,cylinder_head,,,,2,300,20,25,,,,,,,,,,,,
cylinder_head_46_long_cylinder_head_with_many_cylinders_small_ports_large_valves.stl,long cylinder head with many cylinders small ports large valves,,,,,,,,,,,,,,cylinder_head,,,,6,500,20,35,,,,,,,,,,,,
cylinder_head_47_short_cylinder_head_with_few_cylinders_large_ports_small_valves.stl,short cylinder head with few cylinders large ports small valves,,,,,,,,,,,,,,cylinder_head,,,,2,300,30,35,,,,,,,,,,,,
cylinder_head_48_long_cylinder_head_with_many_cylinders_large_ports.stl,long cylinder head with many cylinders large ports,,,,,,,,,,,,,,cylinder_head,,,,6,500,30,35,,,,,,,,,,,,
cylinder_head_49_short_cylinder_head_with_few_cylinders_small_ports.stl,short cylinder head with few cylinders small ports,,,,,,,,,,,,,,cylinder_head,,,,2,300,20,30,,,,,,,,,,,,
crankcase_0_long_crankcase_with_many_cylinders_wide_tall_deep_oil_pan_large_bearings_thick_flanges_high_cooling.stl,long crankcase with many cylinders wide tall deep oil pan large bearings thick flanges high cooling,,,,,,,,,,,,,,crankcase,,,,6,,,,600,350,250,120,60,20,,,,,,
crankcase_1_short_crankcase_with_few_cylinders_narrow_short_height_shallow_oil_pan_small_bearings_thin_flanges.stl,short crankcase with few cylinders narrow short height shallow oil pan small bearings thin flanges,,,,,,,,,,,,,,crankcase,,,,2,,,,400,250,150,80,40,10,,,,,,
crankcase_2_crankcase_with_large_bearings_thick_flanges_high_cooling.stl,crankcase with large bearings thick flanges high cooling,,,,,,,,,,,,,,crankcase,,,,4,,,,500,300,200,100,60,20,,,,,,
crankcase_3_crankcase_with_small_bearings_thin_flanges.stl,crankcase with small bearings thin flanges,,,,,,,,,,,,,,crankcase,,,,4,,,,500,300,200,100,40,10,,,,,,
